Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	mutant_1	mutant_2	mutant_3	mutant_4	mutant_5	normal_1	normal_2	normal_3	normal_4	normal_5
GENE_0926	1071.59657047908	2.47455925763845	0.172410759391099	14.3526962376235	1.02474483639245e-46	1.02474483639245e-43	1508.33540740949	1773.16811768756	1784.40018186561	1955.52778102251	2059.06934833233	249.435143247455	449.299087443264	289.785828212422	348.175444899725	298.769364670424
GENE_0783	1287.22776763418	2.51652439232298	0.177262027861881	14.1966354705353	9.61175656732496e-46	4.80587828366248e-43	1724.09862270759	1800.90375706886	2702.89804686616	2172.06261686105	2558.06207658672	420.308036653192	472.887289534036	295.797982324713	355.354320052297	369.904927687191
GENE_0680	1109.75068941843	2.26887899538509	0.173400751988362	13.084597208306	4.03292333391505e-39	1.34430777797168e-36	1981.00738138811	1718.65324028293	1867.78336793409	1782.63562527545	1841.44413265493	415.397896038084	362.809013110436	235.676441201803	482.181114414396	409.918681884123
GENE_0960	60.5737740511727	-2.44865894589874	0.238557646474423	-10.2644328617707	1.01918065747664e-24	2.54795164369159e-22	21.0745466105118	20.0844285174966	7.69690948324488	20.982057736293	21.8912938847089	126.68162786977	116.817762735249	81.7652959271563	90.932418599241	97.8113991480554
GENE_0841	63.5693582299832	-2.1030024767386	0.225575738881029	-9.32282206929954	1.13286239633332e-20	2.26572479266664e-18	30.106495157874	15.3024217276165	29.5048196857721	20.982057736293	25.1106018089308	122.753515377684	119.064258172465	81.7652959271563	89.7359394071457	101.368177298894
GENE_0240	720.950840379825	1.48565520930332	0.160457474077206	9.25887197120205	2.06603290736482e-20	3.44338817894137e-18	1097.88352342381	846.415201808787	964.679321900026	1091.90628459669	1309.61446357347	397.721389823698	351.576535924354	448.506696776901	382.873341470488	318.331644500035
GENE_0547	289.761299253051	1.53957697561509	0.176484582441242	8.72357774440534	2.69546876166865e-18	3.85066965952664e-16	546.934662034712	323.263658995898	383.562655915037	435.587518605442	467.443510597019	172.83694965178	130.296735358547	140.684406227607	131.61271113048	165.390184013985
GENE_0575	168.072621910785	-1.4878868682356	0.171506780026893	-8.6753822093931	4.1216381921649e-18	5.15204774020613e-16	72.2555883788977	87.9889249337948	97.4941867877685	81.4103840168167	101.730130405412	225.866468294939	294.290902275338	263.332350118342	250.064151147913	206.293132748626
GENE_0247	45.7107451175306	-1.85432398804315	0.229208461465542	-8.09012012988849	5.96059144983087e-16	6.62287938870097e-14	17.0603472561286	19.1280271595206	16.6766372136973	20.982057736293	23.822878639242	73.6521092266107	81.9970834583958	79.36043428224	58.6274804126685	65.80039579051
GENE_0808	243.495969514247	1.32757626905863	0.164987651612699	8.04651897328084	8.5182186429053e-16	8.5182186429053e-14	377.334739312021	337.609679365539	327.118653037908	405.37335546518	293.600882689037	163.016668421565	142.652460263236	151.506283629731	122.040877593718	114.706095364538
GENE_0187	46.4756510602488	-1.81721007014838	0.229324846829955	-7.92417435471283	2.29667184351055e-15	2.0878834941005e-13	24.0851961262992	20.0844285174966	19.2422737081122	21.8213400457447	18.0281243756426	81.5083342107825	85.3668266142202	56.5142486555345	63.4133971810496	74.692341167606
GENE_0131	296.889685942453	-1.35008902870937	0.171581952459978	-7.86847922729098	3.5897814538603e-15	2.99148454488358e-13	180.638970947244	172.152244435685	156.503826159313	170.374308818699	157.102226702029	459.589161574051	390.89020607564	529.0695618816	295.530360447533	457.045992382732
